Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Chain Class Implementation and unit tests,FABP-11,13108,,Story,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,qiang0723,baohua,baohua,21/Oct/16 12:55 PM,21/Jul/18 4:17 AM,28/Oct/23 2:25 AM,19/Apr/17 11:55 AM,,v1.0.0,,,0,SDK-Python,,Chain module,,baohua,,,,,,576000,576000,,0%,576000,576000,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx9ov:",,,,Unset,,Sprint 2,Sprint 4,,,,Unset,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Complete Chaincode API for python-sdk,FABP-12,31735,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,DexHunter,DexHunter,DexHunter,08/Jul/18 7:38 PM,25/Jul/18 10:09 PM,28/Oct/23 2:25 AM,25/Jul/18 10:09 PM,,,,,0,py-SDK,python-SDK,"* Complete Chaincode Instantiate API & related test
* Complete Chaincode Invoke API & related test
* Modify related functions",,DexHunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzi5j:",,,,,,,,,,,,,,,,,,,,,,DexHunter,,,,,,,,,"08/Jul/18 7:50 PM;DexHunter;https://gerrit.hyperledger.org/r/#/c/24219/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
query installed chaincodes,FABP-13,29056,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,MichaelWang,MichaelWang,31/Mar/18 11:41 PM,29/Aug/18 7:12 PM,28/Oct/23 2:25 AM,29/Aug/18 5:06 PM,,,,,0,,,Enable query installed chaincodes.,,DexHunter,MichaelWang,,,,,,,,,,,,,FABP-162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz43j:",,,,,,,,,,,,,,,,,,,,,,DexHunter,MichaelWang,,,,,,,,"27/Aug/18 8:53 AM;DexHunter;https://gerrit.hyperledger.org/r/25894;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Simplify the integration testing code,FABP-14,26981,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,22/Jan/18 4:25 PM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,26/Jan/18 11:24 AM,,,,,0,,,"Currently, too many details are exposed for the testing usage.

Need to simplify the testing code by refining the client module implementation.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyu7j:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,"22/Jan/18 10:54 PM;baohua;https://gerrit.hyperledger.org/r/#/c/17049/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Add chaincode install APIs for client module,FABP-15,29372,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,13/Apr/18 2:42 PM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,15/Apr/18 10:53 AM,,v1.2.0,,,0,sdk,,"Provide user-friendly client API to install chaincode.

And update the usage example into tutorials.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzz5sf:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,"14/Apr/18 8:04 PM;baohua;https://gerrit.hyperledger.org/r/#/c/20565/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update change log,FABP-16,18594,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,david_dornseifer,lafenicecc,lafenicecc,23/Jun/17 3:43 PM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,12/Sep/17 8:34 PM,,,,,0,,,,,david_dornseifer,lafenicecc,,,,,,,,,,,,Not a security issue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzy5gf:",,,,,,Sprint 4,,,,,,,,,,,,,,,,david_dornseifer,lafenicecc,,,,,,,,"09/Sep/17 3:53 AM;david_dornseifer;https://gerrit.hyperledger.org/r/13287;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement the user registration to fabric-ca,FABP-17,15752,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,smithbk,smithbk,15/Apr/17 1:13 AM,30/Jul/18 11:54 AM,28/Oct/23 2:25 AM,30/Jul/18 11:54 AM,,Future,,,0,,,"The REST API supports this via the additional ""Secret"" field in the RegistrationRequest as shown in fabric-ca/api/client.go:
{code}
        // Secret is an optional password.  If not specified,
        // a random secret is generated.  In both cases, the secret
        // is returned in the RegistrationResponse.
        Secret string `json:""secret,omitempty"" help:""The enrollment secret for the identity being registered""`
{code}",,baohua,denyeart,smithbk,,,,,,,,,,,,,,,,,,,,,,FABC-536,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxq0f:",,,,,,,,,,,,,,,,,,,,,,baohua,denyeart,smithbk,,,,,,,"13/Jul/17 3:42 PM;baohua;https://gerrit.hyperledger.org/r/11603;;;","19/Jun/18 7:44 AM;denyeart;[~baohua] Is this still valid?;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,
Install chaincode endorser test,FABP-18,15128,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,01/Mar/17 5:13 PM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,15/Mar/17 12:51 PM,,,,,0,,,Install chaincode endorser test,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxmen:",,,,,,,,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Make python SDK work with latest certificate verify,FABP-19,15784,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,grapebaba,grapebaba,17/Apr/17 6:06 PM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,21/Apr/17 10:37 AM,,,,,0,,,"err The supplied identity is not valid, Verify() returned x509: certificate signed by unknown authority",,baohua,grapebaba,GuillaumeCisco,,,,,,,,,,,,,,,,,,,,,,,FABP-72,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxq5r:",,,,,,,,,,,,,,,,,,,,,,baohua,grapebaba,GuillaumeCisco,,,,,,,"20/Apr/17 4:38 PM;baohua;https://gerrit.hyperledger.org/r/#/c/8205/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update protobuf files,FABP-20,15666,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,11/Apr/17 12:33 PM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,13/Apr/17 12:05 PM,,v1.0.0,,,0,SDK-Python,,Update with latest proto files in fabric code.,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxpnr:",,,,,,Sprint 4,,,,,,,,,,,,,,,,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BlockDecoder requires Ledger-Protos,FABP-21,27115,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,david_dornseifer,david_dornseifer,david_dornseifer,27/Jan/18 6:49 PM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,30/Jan/18 10:57 AM,,,,,0,v1.0,,BlockDecoder needs the ledger protobuf definitions,,david_dornseifer,,,,,,,,,,,,,,,,,,FABP-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyuv3:",,,,,,,,,,,,,,,,,,,,,,david_dornseifer,,,,,,,,,"27/Jan/18 7:19 PM;david_dornseifer;https://gerrit.hyperledger.org/r/#/c/17265/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fix method param bug in chaincode instantiate test,FABP-22,27565,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,baohua,baohua,baohua,09/Feb/18 9:27 PM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,09/Feb/18 11:43 PM,,,,,0,SDK-Python,,"Update the call of get_peer_org_user() and build_channel_request() to latest way.

Also revise the file name by the way.",,baohua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzywqv:",,,,,,,,,,,,,,,,,,,,,,baohua,,,,,,,,,"09/Feb/18 9:34 PM;baohua;https://gerrit.hyperledger.org/r/#/c/17725/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prepare endorser test install chaincode,FABP-23,15092,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,grapebaba,grapebaba,grapebaba,28/Feb/17 12:24 PM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,15/Mar/17 12:51 PM,,,,,0,,,Prepare endorser test install chaincode,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxm7z:",,,,,,,,,,,,,,,,,,,,,,grapebaba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement BlockDecoder for Endorsing Blocks,FABP-24,24905,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,sudheesh001,david_dornseifer,david_dornseifer,11/Dec/17 11:39 AM,19/Jul/18 10:07 AM,28/Oct/23 2:25 AM,15/Mar/18 4:20 PM,,,,,0,,,Add first version of the block_decoder so that decoded blocks can be passed on to the callback functions subscribed to the eventhub.,,baohua,david_dornseifer,sudheesh001,,,,,,,,,,,,FABP-21,FABP-77,,,FABP-152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyqjz:",,,,,,,,,,,,,,,,,,,,,,baohua,david_dornseifer,sudheesh001,,,,,,,"24/Feb/18 5:09 PM;baohua;https://gerrit.hyperledger.org/r/#/c/18235/;;;","24/Feb/18 5:13 PM;sudheesh001;Block Header Decode functionality has been implemented, this JIRA can still be open until the entire functionality is implemented. Thank you Baohua and Kai for your constant support

 ;;;","24/Feb/18 8:39 PM;baohua;Ok, pls remember to post gerrit link here and mark it as done after all patchsets merged.;;;","24/Feb/18 9:26 PM;sudheesh001;Block decode updated to have data section. Please review

https://gerrit.hyperledger.org/r/#/c/18327/;;;","24/Feb/18 10:34 PM;baohua;This is really a nice feature.
Would expect to see some quick tutorial examples in doc after the code is done!;;;","26/Feb/18 3:16 PM;baohua;https://gerrit.hyperledger.org/r/#/c/18327/;;;","02/Mar/18 8:41 PM;baohua;https://gerrit.hyperledger.org/r/#/c/18675/;;;","02/Mar/18 9:03 PM;baohua;Thanks [~apurvmehra], [~sudheesh001]

Look forward to seeing some usage guideline sections in our tutorial!;;;","15/Mar/18 4:20 PM;baohua;https://gerrit.hyperledger.org/r/#/c/18877/;;;",,,,,,,,,,,,,,,,,,,,
Fabric CA server register/enroll/reenroll requests return 201 for success cases,FABP-25,23832,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,,aambati,aambati,08/Nov/17 12:15 AM,24/May/19 11:45 AM,28/Oct/23 2:25 AM,24/May/19 11:45 AM,,Future,,,0,,,"Fabric CA server has been changed to return HTTP return code 201 for register/enroll/reenroll api endpoints. It used to return 200 for success cases for these api endpoints. Python SDK needs to be changed to accommodate this change in Fabric CA.

 

The Fabric CA change is currently in review state. The change can be found at https://gerrit.hyperledger.org/r/c/15025/",,aambati,denyeart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzymh3:",,,,,,,,,,,,,,,,,,,,,,aambati,denyeart,,,,,,,,"23/Mar/18 2:07 PM;denyeart;Many issues were bulk moved from v1.0 or v1.1 to v1.2 as part of a cleanup effort, and many of these issues are not high priority or actually intended to be worked for v1.2.  This issue is being bulk moved to Future.  If the issue is indeed high priority for v1.2 and/or very low effort, please move back to v1.2 and add a comment to indicate rationale.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Split some heavy unit test files,FABP-26,16680,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,david_dornseifer,lafenicecc,lafenicecc,12/May/17 6:40 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,25/May/17 5:14 PM,,,,,0,,,"split some heavy unit test files into more small files, to help locate bugs when running test",,david_dornseifer,lafenicecc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxv1z:",,,,,,Sprint 4,,,,,,,,,,,,,,,,david_dornseifer,lafenicecc,,,,,,,,"25/May/17 3:40 PM;david_dornseifer;http://gerrit.hyperledger.org/r/9787;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update ci docker images to version 0.8.8,FABP-27,15612,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,camelbeck,lafenicecc,lafenicecc,07/Apr/17 12:20 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,14/Apr/17 12:27 PM,,v1.0.0,,,0,,,,,camelbeck,lafenicecc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxpen:",,,,,,Sprint 4,,,,,,,,,,,,,,,,camelbeck,lafenicecc,,,,,,,,"14/Apr/17 12:23 PM;camelbeck;Another volunteer has completed this work.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Update format of CA token in python SDK,FABP-28,30412,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Invalid,,smithbk,smithbk,20/May/18 12:17 AM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,19/Jul/18 10:03 AM,,Future,,,0,Security,,"The format of the authorization header is changing.

The current format is <base64 encoding of X509 certificate>.<base64 encoding of payload> where payload is the signature over hash of the string: <base64 encoding of request body>.<base64 encoding of X509 cert>

The new format is <base64 encoding of X509 certificate>.<base64 encoding of payload> where payload is the signature over hash of the string: <request method>.<base64 encoding of request URI including query parameters>.<base64 encoding of request body>.<base64 encoding of X509 cert>

This change should be made after https://gerrit.hyperledger.org/r/#/c/22025/ is merged
",,smithbk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzzb9r:",,,,,,,,,,,,,,,,,,,,,,smithbk,,,,,,,,,"22/May/18 2:47 AM;smithbk;The token format is not being changed.;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Remove tox installation step from check.sh file in fabric-sdk-py,FABP-29,22503,,Task,Closed,FABP,Fabric SDK Python,software,baohua,,,Medium,Done,rameshthoomu,rameshthoomu,rameshthoomu,19/Oct/17 10:49 PM,19/Jul/18 10:08 AM,28/Oct/23 2:25 AM,20/Oct/17 11:48 AM,v1.0.3,v1.0.4,,,0,fabric-sdk-py,,Observed tox installation failed while running fabric-sdk-py tests in CI environment. tox package is already installed in jenkins build node images and this step is not required to run again. Remove tox installation step from check.sh file in fabric-sdk-py,,baohua,rameshthoomu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyk4f:",,,,,,,,,,,,,,,,,,,,,,baohua,rameshthoomu,,,,,,,,"20/Oct/17 11:48 AM;baohua;https://gerrit.hyperledger.org/r/#/c/14685/;;;",,,,,,,,,,,,,,,,,,,,,,,,,,,,
