Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Flagged),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Remove Unnecessary Write on StateView creation,STL-1011,26918,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,pschwarz,pschwarz,18/Jan/18 5:58 AM,01/Feb/18 1:38 AM,28/Oct/23 3:33 AM,19/Jan/18 4:28 AM,,,,,Validator Global State,,,,,,0,PerStability,,,,,"in {{state_view.py}}:
{code}
    merkle_db = MerkleDatabase(self._database)
    if state_root_hash is not None:
        merkle_db.set_merkle_root(state_root_hash)
{code}

in {{merkle.py}}:
{code}
def __init__(self, database, merkle_root=INIT_ROOT_KEY):
        self._database = database
        self.set_merkle_root(merkle_root)
{code}

The call to {{set_merkle_root}} does a db put when the {{INIT_ROOT_KEY}} is the root. So, every instance of {{StateView}} is incurring the cost of a db write.",,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyttr:",,,,,,Sprint 47,,,,,,,,,,,,,,,,,,,,pschwarz,,,,,,,,,,,,,,,,,,
Add syslog support to Go SDKs,STL-1012,26921,,New Feature,Backlog,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Low,,,adamludvik,adamludvik,18/Jan/18 8:01 AM,21/May/19 11:34 PM,28/Oct/23 3:33 AM,,,,,,Go SDK,,,,,,0,help-wanted,Needs-Review,,,,https://golang.org/pkg/log/syslog/,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwupz:",,,,,,Sprint 47,Sprint 48,Sprint 49,,,,,,0.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
Add QUEUE_FULL response type to transaction processor messages,STL-1013,26926,,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,High,Done,pschwarz,adamludvik,adamludvik,18/Jan/18 11:08 AM,02/Feb/18 1:21 AM,28/Oct/23 3:33 AM,02/Feb/18 1:21 AM,,,,,Validator Txn Execution,,,,,,0,PerStability,,,,,This should add a new message protos and add support to the validator for handling this type of message.,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwuuv:",,,,,,Sprint 47,,,,,,,,2.0,,,,,,,,,,,,adamludvik,,,,,,,,"02/Feb/18 1:21 AM;adamludvik;Won't do;;;",,,,,,,,,,
Refactor closures in batch_submit.rs to be more readable,STL-1014,26940,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,boydjohnson,boydjohnson,19/Jan/18 2:49 AM,26/Jan/18 4:08 AM,28/Oct/23 3:33 AM,26/Jan/18 4:08 AM,,,,,,,,,,,0,,,,,,The function that currently submits batches in a long-running fashion is a Stream with combinators and closures (about 9 of them). These should be refactored to a struct with the closures as functions in the impl.,,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-984,,,,,,,,,,,"1|hzyu07:",,,,,,Sprint 47,,,,,,,,2.0,,,,,,,,,,,,boydjohnson,,,,,,,,,,,,,,,,,,
Write unit tests for new sawadm blockstore commands,STL-1015,26988,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Highest,Done,drozd,adamludvik,adamludvik,23/Jan/18 1:28 AM,31/Mar/18 5:54 AM,28/Oct/23 3:33 AM,31/Mar/18 5:54 AM,,,,,,,,,,,0,PerStability,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,"1|hzwua7:",,,,,,Sprint 47,Sprint 48,Sprint 49,,,,,,1.0,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
Add intkey workload option to randomly send a wildcarded address.,STL-1016,27031,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,boydjohnson,boydjohnson,24/Jan/18 5:48 AM,14/Mar/18 10:23 PM,28/Oct/23 3:33 AM,14/Mar/18 10:23 PM,,,,,,,,,,,0,,,,,,,,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1046,,,,,,,,,,,"1|hzxszr:",,,,,,Sprint 49,,,,,,,,1.0,,,,,,,,,,,,boydjohnson,,,,,,,,,,,,,,,,,,
Add intkey workload option to randomly set a transaction dependency,STL-1017,27032,,Improvement,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,boydjohnson,boydjohnson,24/Jan/18 5:50 AM,15/Mar/18 6:01 AM,28/Oct/23 3:33 AM,15/Mar/18 6:01 AM,,,,,,,,,,,0,,,,,,,,boydjohnson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-1046,,,,,,,,,,,"1|hzxszj:",,,,,,Sprint 49,,,,,,,,2.0,,,,,,,,,,,,boydjohnson,,,,,,,,,,,,,,,,,,
Fix network connections iteration bug,STL-1018,27077,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,drozd,drozd,26/Jan/18 2:20 AM,01/Feb/18 3:48 AM,28/Oct/23 3:33 AM,01/Feb/18 3:48 AM,,,,,,,,,,,0,PerStability,,,,,"This error message was recently logged:
{code:java}
File ""/usr/lib/python3/dist-packages/sawtooth_validator/networking/interconnect.py"", line 1049, in get_connection_id_by_endpoint
for connection_id in self._connections:
RuntimeError: dictionary changed size during iteration

{code}
 This may be related to a more serious peering bug where a node repeatedly attempts and fails to re-peer.",,drozd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyunj:",,,,,,Sprint 47,,,,,,,,1.0,,,,,,,,,,,,drozd,,,,,,,,,,,,,,,,,,
Expected attributes missing from objects,STL-1019,27088,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,drozd,adamludvik,adamludvik,26/Jan/18 6:18 AM,22/Apr/19 9:57 PM,28/Oct/23 3:33 AM,22/Apr/19 9:57 PM,,,,,Validator Journal,,,,,,0,PerStability,,,,,"Occasionally exceptions occur which seem to indicate that an object which normal has an attribute no longer has an attribute. One theory is that there is some sort of stack corruption or data race occurring. The issue seems to occur more frequently when the validator is under load, however there is currently no known way to consistently reproduce the same error.

 

Jan  4 02:51:53 ec2-184-72-89-73.compute-1.amazonaws.com [psimlr1-node1]    ERROR                     Thread-26                   threadpool (Component) Unhandled exception during execution of task TpStat

eGetHandler.handle#012Traceback (most recent call last):#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/concurrent/threadpool.py"", line 85, in wrapper#012    return_value = fn(*args, **kwargs)#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/execution/tp_state_handlers.py"", line 36, in handle#012    get_request.context_id, list(get_request.addresses))#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/execution/context_manager.py"", line 295, in get#012    values = context.get(addresses_in_ctx)#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/execution/execution_context.py"", line 142, in get#012    results.append(self._get(add))#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/execution/execution_context.py"", line 95, in _get#012    value = self._state[address].result()#012  File ""/usr/lib/python3/dist-packages/sawtooth_validator/execution/execution_context.py"", line 453, in result#012    self._condition.wait_for(#012AttributeError: 'TimerContext' object has no attribute 'wait_for'

 

root@psimlr1-node8:/var/log/sawtooth# cat psimlr1-node8-validator-error.log

[2018-01-17 19:06:50.110 [Thread-48] threadpool ERROR] (Component) Unhandled exception during execution of task TpStateGetHandler.handle

Traceback (most recent call last):

  File ""/usr/lib/python3/dist-packages/sawtooth_validator/concurrent/threadpool.py"", line 85, in wrapper

    return_value = fn(*args, **kwargs)

  File ""/usr/lib/python3/dist-packages/sawtooth_validator/execution/tp_state_handlers.py"", line 36, in handle

    get_request.context_id, list(get_request.addresses))

  File ""/usr/lib/python3/dist-packages/sawtooth_validator/execution/context_manager.py"", line 295, in get

    values = context.get(addresses_in_ctx)

  File ""/usr/lib/python3/dist-packages/sawtooth_validator/execution/execution_context.py"", line 142, in get

    results.append(self._get(add))

  File ""/usr/lib/python3/dist-packages/sawtooth_validator/execution/execution_context.py"", line 95, in _get

    value = self._state[address].result()

AttributeError: 'PredecessorTreeNode' object has no attribute 'result'

 

From a local run of poet liveness:

 

validator-2_1                   | [2018-01-04 22:05:58.049 ERROR    threadpool] (Component) Unhandled exception during execution of task TpStateGetHandler.handle

validator-2_1                   | Traceback (most recent call last):

validator-2_1                   |   File ""/project/sawtooth-core/validator/sawtooth_validator/concurrent/threadpool.py"", line 84, in wrapper

validator-2_1                   |     return_value = fn(*args, **kwargs)

validator-2_1                   |   File ""/project/sawtooth-core/validator/sawtooth_validator/execution/tp_state_handlers.py"", line 36, in handle

validator-2_1                   |     get_request.context_id, list(get_request.addresses))

validator-2_1                   |   File ""/project/sawtooth-core/validator/sawtooth_validator/execution/context_manager.py"", line 295, in get

validator-2_1                   |     values = context.get(addresses_in_ctx)

validator-2_1                   |   File ""/project/sawtooth-core/validator/sawtooth_validator/execution/execution_context.py"", line 142, in get

validator-2_1                   |     results.append(self._get(add))

validator-2_1                   |   File ""/project/sawtooth-core/validator/sawtooth_validator/execution/execution_context.py"", line 95, in _get

validator-2_1                   |     value = self._state[address].result()

validator-2_1                   | AttributeError: 'ExecutionContext' object has no attribute 'result'





These are stack traces that might be related to the problem, but might also be unrelated. These are also from local poet liveness runs.

 

validator-4_1                   | [2018-01-04 17:47:36.272 ERROR    base_events] Exception in callback run_coroutine_threadsafe.<locals>.callback() at /usr/lib/python3.5/asyncio/tasks.py:729

validator-4_1                   | handle: <Handle run_coroutine_threadsafe.<locals>.callback() at /usr/lib/python3.5/asyncio/tasks.py:729>

validator-4_1                   | Traceback (most recent call last):

validator-4_1                   |   File ""/usr/lib/python3.5/asyncio/tasks.py"", line 731, in callback

validator-4_1                   |     futures._chain_future(ensure_future(coro, loop=loop), future)

validator-4_1                   |   File ""/usr/lib/python3.5/asyncio/futures.py"", line 421, in _chain_future

validator-4_1                   |     raise TypeError('A future is required for destination argument')

validator-4_1                   | TypeError: A future is required for destination argument

validator-4_1                   | 

validator-4_1                   | During handling of the above exception, another exception occurred:

validator-4_1                   | 

validator-4_1                   | Traceback (most recent call last):

validator-4_1                   |   File ""/usr/lib/python3.5/asyncio/events.py"", line 125, in _run

validator-4_1                   |     self._callback(*self._args)

validator-4_1                   |   File ""/usr/lib/python3.5/asyncio/tasks.py"", line 733, in callback

validator-4_1                   |     if future.set_running_or_notify_cancel():

validator-4_1                   | AttributeError: 'list_iterator' object has no attribute 'set_running_or_notify_cancel'





validator-4_1                   | [2018-01-04 18:34:51.762 ERROR    dispatch] Unhandled exception while determining next

validator-4_1                   | Traceback (most recent call last):

validator-4_1                   |   File ""/project/sawtooth-core/validator/sawtooth_validator/networking/dispatch.py"", line 188, in do_next

validator-4_1                   |     self._determine_next(message_id, future)

validator-4_1                   |   File ""/project/sawtooth-core/validator/sawtooth_validator/networking/dispatch.py"", line 214, in _determine_next

validator-4_1                   |     self._process(message_id)

validator-4_1                   |   File ""/project/sawtooth-core/validator/sawtooth_validator/networking/dispatch.py"", line 179, in _process

validator-4_1                   |     handler_manager = next(collection)

validator-4_1                   | TypeError: 'Condition' object is not an iterator",,adamludvik,dan.middleton@intel.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzwuwv:",,,,,,,,,,,,,,,,,,,,,,,,,,adamludvik,dan.middleton@intel.com,,,,,,,"22/Apr/19 9:56 PM;dan.middleton@intel.com;Closing as this issue is not repeatable and has seen no updates in a year.;;;",,,,,,,,,,
Failure to reconnect to other validators (Disconnect after lag),STL-1020,27090,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Highest,Done,pschwarz,adamludvik,adamludvik,26/Jan/18 7:24 AM,28/Mar/18 11:34 PM,28/Oct/23 3:33 AM,28/Mar/18 11:34 PM,,,,,Validator Networking,,,,,,0,PerStability,,,,,"Increased network activity can cause the dispatcher to backup and result in a validator disconnecting from its peers and rejecting all further communication. It is possible that the validator can get into a state where it is not able to complete authorization quickly enough due to high network message load. Symptoms include the dispatcher queue size spiking (normally ~11, > 100):

Jan  8 05:05:33 ec2-54-91-158-191.compute-1.amazonaws.com [psimlr1-node8]    DEBUG   OutboundConnectionThread-31                     dispatch Dispatch incoming queue size: 123

 

Followed by the permission verifier repeatedly closing connections:

Jan  8 05:33:06 ec2-54-91-158-191.compute-1.amazonaws.com [psimlr1-node8]    DEBUG                     Thread-11          permission_verifier No public key found, 0762d3710d7a3b06ff
d4e7104dada7499ee4f14b42f506311a4c15d762cebf400583a204f41b5e5e15bf3c135d09efe224ced143d8d7da1f7046f2abbcb2ba7f is not permitted. Close connection.
Jan  8 05:33:06 ec2-54-91-158-191.com",,adamludvik,oleks_p,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyupz:",,,,,,Sprint 47,Sprint 48,Sprint 49,,,,,,,,,,,,,,,,,,adamludvik,oleks_p,,,,,,,"13/Mar/18 4:33 AM;adamludvik;This is also known to happen after a period of unscheduling many batches, which can be identified with the following log message:

Mar 12 04:54:07 ec2-54-227-225-89.compute-1.amazonaws.com [psimlr1-node2]    DEBUG              _PublisherThread           scheduler_parallel Removed 499 incomplete batches from the schedule;;;",,,,,,,,,,
Go TPs return INTERNAL ERROR when internal work queue fills up,STL-1021,27091,,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,dplumb,adamludvik,adamludvik,26/Jan/18 7:55 AM,02/Mar/18 5:36 AM,28/Oct/23 3:33 AM,02/Mar/18 5:36 AM,,,,,Go SDK,Validator Journal,,,,,0,PerStability,,,,,"When a Go TP's internal work queue fills up, it begins returning INTERNAL ERROR in response to validator TpProcessRequests. The validators reaction to this is to just resend the transaction, which does not help. The validator needs to be able to handle transaction process backpressure correctly and the Go SDK needs to be updated to work with the new backpressure system.

Jan 16 16:24:01 psimlr1-node0 intkey-tp-go[15036]: 2018/01/16 22:24:01.308081 processor.go:241: [WARN] Work queue is full, denying request d54f553ff35e4b8396d1300965a5e7bd",,adamludvik,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzyuqv:",,,,,,Sprint 47,Sprint 48,Sprint 49,,,,,,,,,,,,,,,,,,adamludvik,,,,,,,,,,,,,,,,,,
