Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Component/s,Component/s,Component/s,Component/s,Component/s,Due Date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (External issue ID),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Prevent exceptions from being swallowed in Gossip.start(),STL-63,16278,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,boydjohnson,jsmitchell,mfford,04/May/17 4:20 AM,02/Mar/21 5:09 AM,28/Oct/23 3:33 AM,02/Mar/21 5:09 AM,,,,,,,0,MVP,Needs-Review,,,,,mfford,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxt1z:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,mfford,pschwarz,,,,,,,"02/Mar/21 5:09 AM;pschwarz;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to have been addressed in the current stable version of Sawtooth (v1.2), so we are updating its status to done. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Implement State Delta Subscription Catch-up,STL-64,16279,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,pschwarz,mfford,04/May/17 4:27 AM,18/May/17 6:11 AM,28/Oct/23 3:33 AM,17/May/17 2:13 AM,Validator Global State,,,,,,0,,,,,State Export clients can send \{\{last_known_block_ids}} which may be older than the current chain head.  Provide a way to send the successive events between the block id sent and the chain head.,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-32,,,,,,,,,,"1|hzx9x3:",,,,,,Sprint 34,,,,,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement Settings Key Naming Strategy,STL-65,16280,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,pschwarz,mfford,04/May/17 4:28 AM,21/May/17 10:42 PM,28/Oct/23 3:33 AM,21/May/17 10:42 PM,Settings Family,,,,,,0,MVP,,,,"Addresses are made up of 70 hexadecimal digits, with the first 6 making up a transaction family namespace, and the remaining 64 make up the address of the data within the namespace.  With on-chain settings, the namespace is 000000.  The remainder of the data is made up from a series of hashes of key parts.

 

In order to allow users to to query for groups of settings, without having to query the whole of the the settings, there needs to be a correspondence between the key parts and the address.  

 

The remaining 32 bytes/64 hex characters of a setting address can be broken up into 4 parts, each corresponding to a part of the setting key.  Each part of the key is hashed with sha256 and the first 16 characters of the hash are used.  For keys with less than 4 parts, the remaining hashes are produced using empty strings.  For keys with more than 4 parts, the last part will be the remaining subkey (that is, 3 individual parts, and the 4 made up of the remain subkey).


Breaking it into 4 parts limits the granularity of subqueries, for deeply nested settings, but a consistent position for the keys is necessary for subgroup queries to be predictable, without the application developer requiring knowledge of how deeply nested the settings are.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-46,,,,,,,,,,"1|hzxt2f:",,,,,,Sprint 34,,,,,,,,,,,2.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement State Delta Registration with Fork Resolution,STL-66,16281,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,pschwarz,mfford,04/May/17 4:29 AM,23/May/17 1:04 AM,28/Oct/23 3:33 AM,23/May/17 1:04 AM,Validator Global State,,,,,,0,,,,,"State Export clients may send {{last_known_block_ids}} which may no longer exist on the chain (e.g. the connected validator had a fork that was discarded).  

Implement a way for the validator and subscriber to negotiate for a known block id.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-32,,,,,,,,,,"1|hzx9wn:",,,,,,Sprint 34,,,,,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Document API with GoDoc,STL-67,16282,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,pschwarz,mfford,mfford,04/May/17 4:30 AM,01/Aug/18 1:47 AM,28/Oct/23 3:33 AM,01/Aug/18 1:47 AM,Documentation,Go SDK,,,,,0,,,,,,,achenette,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxt2v:",,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,achenette,mfford,,,,,,,"01/Aug/18 1:47 AM;achenette;Closed as ""Done.""  The GO SDK API documentation was added on Feb 21, 2018.;;;",,,,,,,,,,,,,,,,,,,,,,
Migrate REST API Architecture Documentation to Sphinx,STL-68,16283,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,delventhalz,mfford,mfford,04/May/17 4:31 AM,19/May/17 1:12 AM,28/Oct/23 3:33 AM,19/May/17 1:12 AM,Documentation,REST API,,,,,0,MVP,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-43,,,,,,,,,,"1|hzxt3b:",,,,,,Sprint 34,,,,,,,,,,,2.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create logging for REST API,STL-69,16284,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Highest,Done,delventhalz,mfford,mfford,04/May/17 4:32 AM,18/May/17 6:14 AM,28/Oct/23 3:33 AM,13/May/17 5:35 AM,REST API,,,,,,0,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-202,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-28,,,,,,,,,,"1|hzxt33:",,,,,,Sprint 34,,,,,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Implement REST API sort parameter,STL-70,16285,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,delventhalz,mfford,mfford,04/May/17 4:33 AM,26/May/17 5:12 AM,28/Oct/23 3:33 AM,26/May/17 5:12 AM,REST API,,,,,,0,MVP,Usability,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-28,,,,,,,,,,"1|hzxwhj:",,,,,,Sprint 34,Sprint 35,,,,,,,,,,3.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generate full documentation from Open API Spec,STL-71,16286,New Feature,Duplicate,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,delventhalz,mfford,mfford,04/May/17 4:33 AM,02/Mar/21 5:15 AM,28/Oct/23 3:33 AM,,Documentation,REST API,,,,,0,,,,,,,mfford,pschwarz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxtjr:",,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,mfford,pschwarz,,,,,,,"02/Mar/21 5:13 AM;pschwarz;Duplicate of [https://github.com/hyperledger/sawtooth-docs/issues/87];;;",,,,,,,,,,,,,,,,,,,,,,
Define Recommended Deployment Network for SysAdmin Guide,STL-72,16288,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ryanbeck,ryanbeck,mfford,04/May/17 4:41 AM,02/Mar/21 5:16 AM,28/Oct/23 3:33 AM,02/Mar/21 5:16 AM,Documentation,,,,,,0,Needs-Review,,,,This should produce a general outline/sketch of a design that will feed into a document about Recommended Deploytments.,,mfford,pdina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzxt8v:",,,,,,Sprint 34,Sprint 36,,,,,,,,,,2.0,,,,,,,,,,,,mfford,pdina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Develop Plan for Module Config Files,STL-73,16289,New Feature,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,amundson,ryanbeck,mfford,04/May/17 4:42 AM,02/Mar/21 5:22 AM,28/Oct/23 3:33 AM,,,,,,,,0,Needs-Review,,,,,,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxt8f:",,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,agunde,mfford,,,,,,,"02/Mar/21 5:22 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Test Regenerating Admin Keys,STL-74,16290,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ryanbeck,ryanbeck,mfford,04/May/17 4:43 AM,02/Mar/21 5:20 AM,28/Oct/23 3:33 AM,02/Mar/21 5:20 AM,,,,,,,0,Needs-Review,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxt9j:",,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Create SysAdmin Documentation for Genesis Block,STL-75,16291,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,ryanbeck,ryanbeck,mfford,04/May/17 4:44 AM,02/Mar/21 5:22 AM,28/Oct/23 3:33 AM,02/Mar/21 5:22 AM,Documentation,,,,,,0,Needs-Review,,,,,,achenette,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-331,,,,,,,,,,"1|hzxt9b:",,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,achenette,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Develop Plan for 0-Downtime Upgrades,STL-76,16292,New Feature,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,ryanbeck,ryanbeck,mfford,04/May/17 4:45 AM,02/Mar/21 5:23 AM,28/Oct/23 3:33 AM,,,,,,,,0,Needs-Review,,,,,,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxt9r:",,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,agunde,mfford,,,,,,,"02/Mar/21 5:23 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Research Go SDK Distribution Model,STL-77,16293,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,mfford,mfford,04/May/17 4:47 AM,18/May/17 3:33 AM,28/Oct/23 3:33 AM,18/May/17 3:33 AM,,,,,,,0,,,,,Output of this task should be additional stories for distributing the SDK,,adamludvik,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-36,,,,,,,,,,"1|hzxt9z:",,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,adamludvik,mfford,,,,,,,"18/May/17 3:33 AM;adamludvik;This has been done side-band. We should use glide for this. See STL-237.;;;",,,,,,,,,,,,,,,,,,,,,,
Define Out-of-Band Package Process,STL-78,16294,New Feature,Won't Fix,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,adamludvik,adamludvik,mfford,04/May/17 4:48 AM,02/Mar/21 5:24 AM,28/Oct/23 3:33 AM,,Packaging,,,,,,0,Needs-Review,,,,This would assist developers looking for bug fixes sooner than the standard release process to help their app development,,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-44,,,,,,,,,,"1|hzxnkv:",,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,agunde,mfford,,,,,,,"02/Mar/21 5:24 AM;agunde;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be inconsistent with the architectural principles of both v1.2, v1.3, and the main branch, and so we are updating this status to won't fix. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
Add ability to specify a list of bind endpoints to validator,STL-79,16295,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,adamludvik,adamludvik,mfford,04/May/17 4:49 AM,01/May/18 4:24 AM,28/Oct/23 3:33 AM,01/May/18 4:24 AM,,,,,,,0,MVP,,,,"The --network-endpoint and --component-endpoint flags to validator should accept more than one endpoint and bind to all of them, in case multiple interfaces are required.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxta7:",,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Migrate Namespace/Address Documentation to Public Sphinx Doc,STL-82,16299,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,toddojala,mfford,mfford,04/May/17 4:55 AM,01/Jun/17 8:27 AM,28/Oct/23 3:33 AM,12/May/17 4:10 AM,Documentation,Validator Global State,,,,,0,,,,,Migrate this document into the appropriate place in the public facing documentation:,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-330,,,,,,,,,,"1|hzxtan:",,,,,,Sprint 34,,,,,,,,,,,1.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
App Dev Guide: Writing Transaction Processors-JAVA,STL-83,16300,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,dplumb,mfford,mfford,04/May/17 4:56 AM,11/Jul/17 4:33 AM,28/Oct/23 3:33 AM,24/Jun/17 12:58 AM,Documentation,Java SDK,sawtooth-core,,,,0,,,,,,,mfford,,,,,,,,,,,,,,STL-337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-329,,,,,,,,,,"1|hzxy3r:",,,,,,Sprint 36,Sprint 37,,,,,,,,,,2.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
App Dev Guide: Writing Transaction Processors-C++,STL-84,16301,New Feature,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,toddojala,mfford,mfford,04/May/17 4:56 AM,02/Mar/21 5:25 AM,28/Oct/23 3:33 AM,,C++ SDK,Documentation,,,,,0,Needs-Review,,,,,,amundson,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-329,,,,,,,,,,"1|hzxnl3:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,amundson,mfford,,,,,,,"02/Mar/21 5:25 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue does not contain enough information to understand the reported feature or bug, and therefore we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.;;;",,,,,,,,,,,,,,,,,,,,,,
DEFECT sawtooth cluster starts too many validators with subprocess,STL-85,16302,New Feature,Invalid,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,,toddojala,toddojala,mfford,04/May/17 5:16 AM,02/Mar/21 5:26 AM,28/Oct/23 3:33 AM,,,,,,,,0,Needs-Review,,,,"To reproduce: 
Start validators using ""sawtooth cluster start -m subprocess --count 2 -P tp_intkey_process""
ps -ef | grep python shows that more validators than expected are started. Strange:
ubuntu@ubuntu-xenial:/project/sawtooth-core$ ps -ef | grep python
ubuntu 26989 20114 0 16:48 pts/1 00:00:00 python3 /project/sawtooth-core/bin/sawtooth cluster start -m subprocess --count 2 -P tp_config
ubuntu 26992 26989 0 16:48 pts/1 00:00:01 [python3] <defunct>
ubuntu 26993 26989 0 16:48 pts/1 00:00:02 python3 /project/sawtooth-core/bin/validator --component-endpoint tcp://0.0.0.0:40000 --network-endpoint tcp://0.0.0.0:8800
ubuntu 26994 26989 0 16:48 pts/1 00:00:02 python3 /project/sawtooth-core/bin/validator --component-endpoint tcp://0.0.0.0:40001 --network-endpoint tcp://0.0.0.0:8801 --peers tcp://0.0.0.0:8800
ubuntu 26995 26989 0 16:48 pts/1 00:00:01 python3 /project/sawtooth-core/bin/tp_config tcp://0.0.0.0:40000
ubuntu 26996 26989 0 16:48 pts/1 00:00:01 python3 /project/sawtooth-core/bin/tp_config tcp://0.0.0.0:40001
ubuntu 26997 26989 0 16:48 pts/1 00:00:01 python3 /project/sawtooth-core/bin/rest_api --stream-url tcp://0.0.0.0:40000
ubuntu 27049 26993 0 16:48 pts/1 00:00:00 python3 /project/sawtooth-core/bin/validator --component-endpoint tcp://0.0.0.0:40000 --network-endpoint tcp://0.0.0.0:8800
ubuntu 27050 26993 0 16:48 pts/1 00:00:00 python3 /project/sawtooth-core/bin/validator --component-endpoint tcp://0.0.0.0:40000 --network-endpoint tcp://0.0.0.0:8800
ubuntu 27052 26993 0 16:48 pts/1 00:00:00 python3 /project/sawtooth-core/bin/validator --component-endpoint tcp://0.0.0.0:40000 --network-endpoint tcp://0.0.0.0:8800
ubuntu 27074 26994 0 16:49 pts/1 00:00:00 python3 /project/sawtooth-core/bin/validator --component-endpoint tcp://0.0.0.0:40001 --network-endpoint tcp://0.0.0.0:8801 --peers tcp://0.0.0.0:8800
ubuntu 27076 26994 0 16:49 pts/1 00:00:00 python3 /project/sawtooth-core/bin/validator --component-endpoint tcp://0.0.0.0:40001 --network-endpoint tcp://0.0.0.0:8801 --peers tcp://0.0.0.0:8800
ubuntu 27077 26994 0 16:49 pts/1 00:00:00 python3 /project/sawtooth-core/bin/validator --component-endpoint tcp://0.0.0.0:40001 --network-endpoint tcp://0.0.0.0:8801 --peers tcp://0.0.0.0:8800
ubuntu 27119 26576 0 17:00 pts/2 00:00:00 grep --color=auto python
ubuntu@ubuntu-xenial:/project/sawtooth-core$",,amundson,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxnhj:",,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,amundson,mfford,,,,,,,"02/Mar/21 5:26 AM;amundson;In preparation for a Sawtooth community transition from JIRA to Github issues, we are reviewing all issues within JIRA. This issue appears to be no longer applicable due to architectural changes in the current stable version of Sawtooth (v1.2), and so we are updating its status to invalid. If you believe this is in error, please help our migration efforts and re-open this issue in Github Issues at https://github.com/hyperledger/sawtooth-core/issues.
;;;",,,,,,,,,,,,,,,,,,,,,,
Change variables names from wif_filename to priv_filename,STL-86,16303,New Feature,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,toddojala,toddojala,mfford,04/May/17 5:17 AM,13/May/17 3:17 AM,28/Oct/23 3:33 AM,13/May/17 3:17 AM,,,,,,,0,,,,,"Task related to closed PR #369:
Variables names wif_filename should be changed to priv_filename, to go along with the intent of PR#369.",,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STL-48,,,,,,,,,,"1|hzxtb3:",,,,,,Sprint 34,,,,,,,,,,,1.0,,,,,,,,,,,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Running intkey with no parameters produce bad errror message. ,STL-87,16309,Bug,Complete,STL,Sawtooth,software,mfford,Hyperledger Sawtooth is a modular blockchain platform.,,Medium,Done,RyanBanks,cintel,cintel,04/May/17 10:13 AM,13/Sep/17 4:11 AM,28/Oct/23 3:33 AM,13/Sep/17 4:11 AM,,,,,,,0,help-wanted,Usability,,,"│$ intkey
<_io.TextIOWrapper name='<stderr>' mode='w' encoding='UTF-8'> Error: invalid command: None

Instead, it should provide a usage error message.
",,cintel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1|hzxnhb:",,,,,,,,,,,,,,,,,,,,,,,,,,,,,cintel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
