Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Issue split),Outward issue link (Issue split),Inward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment
Bootstrap Hyperledger Grid,GRID-12,39867,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,amundson,agunde,agunde,17/May/19 1:35 AM,25/Sep/19 5:08 AM,28/Oct/23 2:25 AM,,,0,,,"Create Grid Repo
Setup Governance for Grid
Move Current Supply Chain to Grid

Update Dockerfiles

Add Cargo Workspace

 ",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Bootstrap Hyperledger Grid,To Do,No,,Unset,No,,,"1|i00cxa:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Integrate TnT with Pike and Schema,GRID-13,39874,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,eloafran,eloafran,eloafran,17/May/19 3:48 AM,30/May/19 2:17 AM,28/Oct/23 2:25 AM,30/May/19 2:17 AM,,0,,,"Requirement:
 * Update Track and Trace Transaction Processor to use the TnT protocols in the sdk, instead of the deprecated proto messages.
 * Track and Trace Transaction Processor should use agents from the pike transaction family 
 * Track and Trace Transaction Processor should use schema from the schema transaction family instead of RecordType and TrackAndTracePropertyValue",,eloafran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ljo:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),eloafran,,,,,,,,,
Add CLI integration tests,GRID-14,39873,,Improvement,Backlog,GRID,Grid,software,amundson,,,Medium,,satelander,satelander,satelander,17/May/19 3:47 AM,04/Sep/19 10:33 PM,28/Oct/23 2:25 AM,,,0,,,Adds integration testing to the Grid CLI.,,satelander,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i00ljj:i",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),satelander,,,,,,,,,
Implement Track And Trace State Delta Export in Grid,GRID-15,39875,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,RobinBanks,RobinBanks,RobinBanks,17/May/19 3:50 AM,21/May/19 5:09 AM,28/Oct/23 2:25 AM,21/May/19 5:09 AM,,0,,,"Add Track and Trace transaction family to Grid Daemon.

 

Requirements
 * Define database schema that maps to Track and Trace protobuf definition
 * Add Track and Trace namespace to Grid Daemon and logic to subscribe to Track and Trace events
 * Logic to map Track and Trace events to database schema",,RobinBanks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ljj:9",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),RobinBanks,,,,,,,,,
Implement Record endpoints,GRID-16,39876,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,dplumb,dplumb,dplumb,17/May/19 4:13 AM,08/Jun/19 12:47 AM,28/Oct/23 2:25 AM,08/Jun/19 12:47 AM,,0,,,"Add TnT Rest API  functionality to the grid daemon.

This includes the following endpoints:
 * `GET /record`
 * `GET /record/\{record_id}`

The openapi.yaml spec should also be updated accordingly.",,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ljw:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Update Track and Trace UI Agents,GRID-17,39877,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,newhall,dplumb,dplumb,17/May/19 4:17 AM,05/Jun/19 3:21 AM,28/Oct/23 2:25 AM,05/Jun/19 3:21 AM,,0,,,Update the Track and Trace UIs to use Pike Agents rather than the depreciated TnT agents. Code needs a significant refactor to simplify the logic and improve readability.,,dplumb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-10,,,No,,Unset,No,,,"1|i00ljx:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),dplumb,,,,,,,,,
Implement Product,GRID-18,39927,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,adeeb.ahmed,adeeb.ahmed,adeeb.ahmed,21/May/19 12:11 AM,22/May/19 5:16 AM,28/Oct/23 2:25 AM,22/May/19 5:16 AM,,0,,,"This is a duplicate of https://jira.hyperledger.org/browse/GRID-20

 ",,adeeb.ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00ob3:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),adeeb.ahmed,,,,,,,,,
Grid Product,GRID-19,39928,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,amundson,adeeb.ahmed,adeeb.ahmed,21/May/19 12:14 AM,25/Sep/19 5:08 AM,28/Oct/23 2:25 AM,,,0,,,"The scope of this epic includes the Grid Product RFC and implementation of the RFC.

The RFC is at: https://github.com/hyperledger/grid-rfcs/pull/5",,adeeb.ahmed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Grid Product,To Do,No,,Unset,No,,,"1|i00cww:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),adeeb.ahmed,,,,,,,,,
Add Grid Product Smart Contract,GRID-20,39936,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,adeeb.ahmed,mfford,mfford,21/May/19 4:46 AM,01/Aug/19 4:42 AM,28/Oct/23 2:25 AM,01/Aug/19 4:42 AM,,0,,,"Implement the Grid Product smart contract and add it to the grid/contract registry. 

This story includes the following:
 * Add grid product addressing, state, -and payload proto files-
 * -*Add rust native implementations to the grid SDK protocols*-
 * Implement the smart contract so it can be run in Sabre
 * Add unit tests using a MockTransactionContext (see grid schema for example, use sawtooth-sdk 0.3 and sabre sdk 0.2)
 * Add a Sabre contract file (see [https://github.com/hyperledger/grid/blob/ca9f19ff74ba8dec53e08a8e3a07d001c5f08573/contracts/schema/schema.yaml] for example)
 * Add Dockerfile and add deploying the contract to Sabre in the docker-compose files",,agunde,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00ljp:i",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,mfford,,,,,"04/Jun/19 3:09 AM;agunde;Breaking out the protocols into their own story.;;;",,,
Add Grid Product SDE,GRID-21,39937,,New Feature,Complete,GRID,Grid,software,amundson,,,High,Done,pa3ng,mfford,mfford,21/May/19 4:47 AM,28/Aug/19 1:33 AM,28/Oct/23 2:25 AM,28/Aug/19 1:33 AM,,0,,,"Extend the state-delta export capabilities to the grid daemon to consume product-related state changes and insert them into the SQL reporting database.

 

*Prerequisite Tasks*
||Status  ||Tasks||
|*Done*| * Update grid daemon to include product database tables, rust schemas, and rust models.
 * PR: [https://github.com/hyperledger/grid/pull/104]|
|*Review*| * Address Rust native refactor of Grid SDK by updating relevant database fields, tables, and schemas
 * Update state-delta-subscriber components to utilize product db schemas/models
 * PR: [https://github.com/hyperledger/grid/pull/113]|

 ",,mattp,mfford,pa3ng,,,,,,,,,,,GRID-23,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00ljp:r",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mattp,mfford,pa3ng,,,,"29/Jun/19 3:38 AM;pa3ng;PR to add product database queries/schemas/models: [https://github.com/hyperledger/grid/pull/104];;;","16/Jul/19 12:22 AM;pa3ng;[~mfford] This story just needs one more review/approval. I've got one from [~pschwarz] already.;;;","28/Aug/19 1:19 AM;mattp;We believe this is done.;;;",
Add Grid Product CLI,GRID-22,39938,,New Feature,Complete,GRID,Grid,software,amundson,,,Medium,Done,Patrick-Erichsen,mfford,mfford,21/May/19 4:47 AM,08/Oct/19 4:06 AM,28/Oct/23 2:25 AM,08/Oct/19 4:06 AM,,0,,,"Add the following commands to the Grid CLI:
 * grid product create (create a new product)
 * grid product update (update an existing product)
 * grid product delete (delete an existing product)
 * grid product list (list all products)
 * grid product show (show specific product) 

 

This will require the REST API for Product is already implemented. ",,mattp,mfford,Patrick-Erichsen,pschwarz,,,,,,,,,GRID-23,GRID-106,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00okm:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mattp,mfford,Patrick-Erichsen,pschwarz,,,"26/Jun/19 6:08 AM;pschwarz;This requires GRID-23 (The REST API endpoints);;;","28/Aug/19 1:25 AM;mattp;We believe this is waiting on PR review - [https://github.com/hyperledger/grid/pull/114] ;;;","11/Sep/19 4:49 AM;Patrick-Erichsen;PR this is waiting on - [https://github.com/hyperledger/grid/pull/114]

 ;;;",
Add Grid Product REST API,GRID-23,39939,,New Feature,Complete,GRID,Grid,software,amundson,,,High,Done,trevormcdonald,mfford,mfford,21/May/19 4:47 AM,11/Sep/19 4:20 AM,28/Oct/23 2:25 AM,11/Sep/19 4:20 AM,,0,,,"The following routes need to be added to the grid rest-api:
 * /product (return all products from SDE database)
 * /product/<product-id> (retrieve a specific product)

*Prerequisite Tasks*
||Status   ||Tasks||
|WIP|Add Grid Product SDE: https://jira.hyperledger.org/browse/GRID-21|
|DONE|Rust native implementations of Product (not required but would make life easier):
 https://jira.hyperledger.org/browse/GRID-55|",,mattp,mfford,pschwarz,,,,,,,,,,GRID-21,GRID-22,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00okn:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mattp,mfford,pschwarz,,,,"26/Jun/19 6:10 AM;pschwarz;The data that backs this REST API will be populated in the DB via GRID-21;;;","28/Aug/19 1:24 AM;mattp;We believe this is awaiting a PR review.  [https://github.com/hyperledger/grid/pull/115];;;",,
Add Grid Product TXN Family Spec,GRID-24,39940,,New Feature,Backlog,GRID,Grid,software,amundson,,,Medium,,adeeb.ahmed,mfford,mfford,21/May/19 4:47 AM,22/May/19 6:28 AM,28/Oct/23 2:25 AM,,,0,,,Along with the Grid Product Smart Contract a Transaction Family Specification should be added to the Grid docs. This should be adapted from the Grid Product RFC. There are several examples in the documentation. ,,mfford,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-19,,,No,,Unset,No,,,"1|i00oko:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mfford,,,,,,,,,
Deploy grid smart contracts to sabre within docker-compose,GRID-25,39941,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,ryanbeck,agunde,agunde,21/May/19 4:56 AM,07/Jun/19 5:00 AM,28/Oct/23 2:25 AM,07/Jun/19 4:59 AM,,0,,,We need to have a docker-compose that when started automatically deploys pike and schema to Sabre. This will involve some investigating.,,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-37,,,No,,Unset,No,,,"1|i00ljp:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
Design Grid Documentation Stories,GRID-26,39942,,Improvement,Complete,GRID,Grid,software,amundson,,,Medium,Done,agunde,agunde,agunde,21/May/19 4:59 AM,05/Jun/19 1:35 AM,28/Oct/23 2:25 AM,05/Jun/19 1:35 AM,,0,,,Figure out what stories need to exist for when we do a Grid Documentation Sprint. ,,achenette,agunde,,,,,,,,,,,,,,,,,,,,,GRID-45,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,GRID-63,,,No,,Unset,No,,,"1|i00ljq:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),achenette,agunde,,,,,"05/Jun/19 1:35 AM;agunde;The grid documentation epic has been created as an outcome of this story.;;;",,,
Grid Components RFC,GRID-27,39944,,New Feature,In Review,GRID,Grid,software,amundson,,,High,,amundson,amundson,amundson,21/May/19 5:16 AM,10/Jul/19 12:03 AM,28/Oct/23 2:25 AM,,,0,,,Write up a Grid components RFC and go through the RFC approval process.,,amundson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|hzwu9b:5i",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),amundson,,,,,,,,,
Grid Schema,GRID-28,39945,,Epic,Backlog,GRID,Grid,software,amundson,,,Medium,,amundson,agunde,agunde,21/May/19 5:21 AM,01/Oct/19 5:19 AM,28/Oct/23 2:25 AM,,,0,,,"Grid Primitives for Hyperledger Grid provides a reusable, standard approach to defining, storing, and consuming properties within smart contracts, software libraries, and network-based APIs.",,agunde,,,,,,,,,,,,,,,,,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,ghx-label-2,,Grid Schema,To Do,No,,Unset,No,,,"1|i00obc:",,,,Unset,Unset,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),agunde,,,,,,,,,
