Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Affects Version/s,Affects Version/s,Affects Version/s,Fix Version/s,Fix Version/s,Fix Version/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Duplicate),Outward issue link (Duplicate),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Attachment,Attachment,Attachment,Attachment,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitBranch),Custom field (gitCommitsReferenced),Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment,Comment
Cleanup top level interfaces,FABG-11,28531,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,aleksandar.likic,aleksandar.likic,15/Mar/18 3:20 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,20/Mar/18 5:33 AM,,,,,,,,0,,,,,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz1av:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,aleksandar.likic,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Instantiate/Upgrade CC use request structs ,FABG-12,26119,,Story,To Do,FABG,Fabric SDK Go,software,troyronda,,,Medium,,,troyronda,troyronda,17/Dec/17 4:36 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,,,,,,,,,0,,,Use request struct instead of parameters in Instantiate/Upgrade CC in low level client. Other places?,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzwzr3:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,,,,,,,,,,,,,"28/Feb/18 2:00 AM;troyronda;Deprecated:

[https://github.com/hyperledger/fabric-sdk-go/blob/master/pkg/fab/channel/channel.go#L453]

[https://github.com/hyperledger/fabric-sdk-go/blob/master/pkg/fab/channel/channel.go#L498]

 

New version:

CreateChaincodeDeployProposal : https://github.com/hyperledger/fabric-sdk-go/blob/master/pkg/fab/channel/lscc.go#L49;;;",,,,,,,,,,,
Add retries to resource management client,FABG-13,28947,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,bstasyszyn,bstasyszyn,bstasyszyn,28/Mar/18 6:37 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,29/Mar/18 4:56 AM,,,,,,,,0,,,,,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz3gf:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,bstasyszyn,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Run unit tests only for changed packages,FABG-14,31329,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,23/Jun/18 6:11 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,28/Jun/18 2:01 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzzg1j:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Return response from ExecuteTx,FABG-15,26942,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,bstasyszyn,bstasyszyn,bstasyszyn,19/Jan/18 3:32 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,19/Jan/18 6:28 AM,,,,,,,,0,,,"The ChannelClient functions, ExecuteTx and ExecuteTxWithOpts, should also return the payload response,",,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzyu0n:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,bstasyszyn,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Go SDK - Transient Data Test Cases,FABG-16,16030,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,biljana.lukovic,troyronda,troyronda,27/Apr/17 5:51 AM,21/Jul/18 4:15 AM,28/Oct/23 3:24 AM,29/Apr/17 12:27 AM,,,,,,,,0,,,"Support sending transient data in the proposal.

(Needs test cases)",,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-2450,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxonj:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Go SDK - Retry endorsement logic,FABG-17,26166,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,divyank,troyronda,troyronda,20/Dec/17 4:02 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,07/Feb/18 6:14 AM,,,,,,,,0,,,"Includes:
 * connection failures - drop the failed peer from the selection and try another
 * endorsement failures
 * configurable number of retries
 * do not send failed endorsements to orderer

 ",,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx0gv:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
MSP access from ChannelService,FABG-18,27746,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,divyank,aleksandar.likic,aleksandar.likic,15/Feb/18 1:11 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,28/Feb/18 2:11 AM,,,,,,,,0,,,,,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzwzmn:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,aleksandar.likic,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
add functionality to fetch peer config by url,FABG-19,28348,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,pavan-sk,pavan-sk,pavan-sk,10/Mar/18 1:03 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,10/Mar/18 2:54 AM,,,,,,,,0,,,add functionality to fetch peer config by url in sdk,,pavan-sk,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz0gv:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,pavan-sk,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
SDK Go - Query SCC Support,FABG-20,15472,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,aleksandar.likic,aleksandar.likic,28/Mar/17 6:32 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,19/Apr/17 8:27 AM,,,,,,,,0,,,"Add support for Query Transaction, Query Chaincode, Query Blocks.",,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzxon3:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,aleksandar.likic,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Fix integration tests outside docker,FABG-21,26121,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,17/Dec/17 8:51 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,18/Dec/17 2:54 AM,,,,,,,,0,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx0e7:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Remove references to low level packages from pkg/client/msp,FABG-22,28526,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,aleksandar.likic,aleksandar.likic,aleksandar.likic,15/Mar/18 2:32 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,15/Mar/18 3:19 AM,,,,,,,,0,,,,,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz1an:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,aleksandar.likic,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Prioritize endorsers based on private data collections,FABG-23,31689,,Story,To Do,FABG,Fabric SDK Go,software,troyronda,,,Medium,,bstasyszyn,bstasyszyn,bstasyszyn,06/Jul/18 6:57 AM,21/Jul/18 4:15 AM,28/Oct/23 3:24 AM,,,,,,,,,0,,,"Currently when private data collections are specified in the invocation chain (in channel.Execute) then all endorsers that do not have read access to that collection are excluded and the endorsement will fail if a sufficient set of endorsers is not found that will satisfy the chaincode policy. An option should be added to channel.Execute that specifies whether to Exclude endorser that don't have read access to the collection, or to Prioritize the endorsers by those that _do_ have access to the collection. ",,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FAB-10857,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzwtb3:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,bstasyszyn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SDK Go - Improve dependency mechanism (for Fabric code re-use),FABG-24,15661,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,troyronda,troyronda,troyronda,11/Apr/17 9:22 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,03/Oct/17 12:56 PM,,,,,,,,0,,,"Currently we are using Go vendoring to bring in Fabric dependencies.

The plan (for now) is to pin Fabric and Fabric-CA into the Go SDK codebase, while allowing vendor-able dependencies to be managed by [dep|https://github.com/golang/dep]. To reduce the dependencies brought in by Fabric and Fabric-CA, some patches need to be applied. These patches are scripted and checked into the SDK.

The pinned code will live under internal, similar to an early proposal for Go vendoring ([ https://groups.google.com/d/msg/golang-dev/nMWoEAG55v8/iJGgur7W_SEJ|https://groups.google.com/d/msg/golang-dev/nMWoEAG55v8/iJGgur7W_SEJ]).",,troyronda,,,,,,,,,,,,,,FABG-489,FABG-503,FABG-426,FABG-482,FABG-553,FABG-501,FABG-158,FABG-456,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx3fj:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cleanup enrollment test cases,FABG-25,28459,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,,aleksandar.likic,aleksandar.likic,13/Mar/18 10:44 AM,21/Jul/18 4:16 AM,28/Oct/23 3:24 AM,20/Mar/18 5:34 AM,,,,,,,,0,,,,,aleksandar.likic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzz147:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,aleksandar.likic,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,main,dependabot/go_modules/golang.org/x/net-0.7.0,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
Go SDK - support keepalive options,FABG-26,26170,,Story,Closed,FABG,Fabric SDK Go,software,troyronda,,,Medium,Done,biljana.lukovic,troyronda,troyronda,20/Dec/17 4:17 AM,21/Jul/18 4:17 AM,28/Oct/23 3:24 AM,15/Feb/18 1:49 AM,,,,,,,,0,,,"expose gRPC keepalive, failfast options, use context.Timeout",,troyronda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Unset,,,,,,,,,,,,"1|hzx0hr:",,,,Unset,,,,,,,,,,,Unset,,,,,,,,,,,troyronda,,,,,,,dependabot/go_modules/golang.org/x/crypto-0.1.0,dependabot/go_modules/test/performance/golang.org/x/net-0.7.0,dependabot/go_modules/golang.org/x/net-0.7.0,main,dependabot/go_modules/github.com/prometheus/client_golang-1.11.1,,,,,,,true,,,,,,,,,,,,
