Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Fix Version/s,Component/s,Due Date,Votes,Labels,Labels,Description,Environment,Watchers,Watchers,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Custom field (Business Value),Custom field (Commit Levels),Custom field (Current Status),Custom field (Design),Custom field (Design Status),Custom field (Documentation Impact),Custom field (Documentation Status),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Executed),Custom field (Found in Commit),Custom field (Function Test Status),Custom field (Must Fix),Custom field (Original story points),Custom field (Parent Link),Custom field (Rank),Custom field (Release Note),Custom field (Release Note Required),Custom field (Root Cause Analysis),Custom field (SDK Impact),Custom field (Sample/Tutorial),Sprint,Sprint,Sprint,Custom field (Steps to Reproduce),Custom field (Story Points),Custom field (System Test Impact),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Team),Custom field (Test Plan),Custom field (Test Result),Custom field (Test Result Details),Custom field (Test Type),Custom field (Triaged),Custom field (Usage),Custom field (Watchers),Custom field (Watchers),Custom field (Workaround),Custom field (gitCommitsReferenced),Comment,Comment,Comment
[As a SC & Client Dev] want to specify the wire serialisation format,FCW-21,45323,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 8:56 PM,27/Jul/20 11:00 PM,28/Oct/23 2:26 AM,,,,,0,,,,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01ddc:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want to access identity information about the tx submitter,FCW-22,45324,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 8:56 PM,28/Jul/20 7:06 PM,28/Oct/23 2:26 AM,,TP2,,,0,,,"* identity about which organization
 * identity about what indentity",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01da1:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want to specify endorsement policies per state,FCW-23,45325,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,,mbwhite,mbwhite,18/Jun/20 8:57 PM,23/Apr/21 9:45 PM,28/Oct/23 2:26 AM,23/Apr/21 9:45 PM,TP2,,,1,sdk-triaged,,,,calanais,mbwhite,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01b8a:jyzzhjzi",,,,Unset,Unset,NEXT TODO ITEMS,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),calanais,mbwhite,,,,,
[As a SC Dev] want to specify hooks to implement ACLs logging ,FCW-24,45326,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 9:07 PM,18/Jun/20 9:08 PM,28/Oct/23 2:26 AM,,,,,0,,,"* before after unknown hooks
 * consider the around as well.",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-1,,,No,,Unset,No,,,"1|i01ddv:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a Contributor] I want the format of the protos for hasm/wasm connection,FCW-25,45327,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 9:38 PM,27/Jul/20 4:50 PM,28/Oct/23 2:26 AM,,,,,0,,,"* To write a another contract language, a specification of the proto bufs and flow of operations are required
 * Need to the protos defined in a repo
 * Details of how the waPC is used to marshal calls",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-2,,,No,,Unset,No,,,"1|i01db5:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want the Wasm host to route trace and trace control requests,FCW-26,45328,Story,To Do,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,,,mbwhite,mbwhite,18/Jun/20 9:40 PM,18/Jun/20 9:40 PM,28/Oct/23 2:26 AM,,,,,0,,,"* logging from the wasm code needs to be routed correctly to stdout
 * should be able to modify the log-level within the wasm code from the peer
 * cope with panics of the wasm engine.",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-2,,,No,,Unset,No,,,"1|i01deb:",,,,Unset,Unset,,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] want the ledger requests to be sent back to the peer,FCW-27,45329,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,,mbwhite,mbwhite,18/Jun/20 9:42 PM,04/Sep/20 5:59 PM,28/Oct/23 2:26 AM,04/Sep/20 5:59 PM,TP1,,,0,cc-triaged,,"* When the contract calls functions such as create_state etc these need to be routed back to the peer. 

Should this be split into a set of stories?  ",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-2,,,No,,Unset,No,,,"1|i01d9q:",,,,Unset,Unset,20 July to 7 Aug,Wasm 7 Aug to 14 Aug,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] Want the transaction functions to be called ,FCW-28,45330,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,,mbwhite,mbwhite,18/Jun/20 9:45 PM,04/Sep/20 5:58 PM,28/Oct/23 2:26 AM,04/Sep/20 5:58 PM,TP1,,,0,cc-triaged,,"This is about the routing of the calls to the correct transaction function.

Error Handling
 * unknown contract or transaction function
 * wrong number of parameters
 * data conversion failure
 * error reporting back to the user
 * errors from inside the tx function reported correctly

Routing

- Basic routing is done and in place now, provided that the user has  ",,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-2,,,No,,Unset,No,,,"1|i01d9o:",,,,Unset,Unset,20 July to 7 Aug,Wasm 7 Aug to 14 Aug,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
[As a SC Dev] Would like to see some examples of contracts etc,FCW-29,45682,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,,mbwhite,mbwhite,23/Jul/20 9:34 PM,04/Sep/20 5:59 PM,28/Oct/23 2:26 AM,04/Sep/20 5:59 PM,TP1,Rust Contract API,,0,cc-triaged,,,,mbwhite,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,FCW-3,,,No,,Unset,No,,,"1|i01d9p:",,,,Unset,Unset,20 July to 7 Aug,Wasm 7 Aug to 14 Aug,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),mbwhite,,,,,,
Release tech preview 1,FCW-30,46118,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,jtonline,jtonline,jtonline,15/Sep/20 10:36 PM,17/Sep/20 11:31 PM,28/Oct/23 2:26 AM,17/Sep/20 11:31 PM,TP1,,,0,cc-triaged,,"Steps to release TP1:
 * Tag [https://github.com/hyperledgendary/fabric-chaincode-wasm] with tp1 ✅
 * Publish hyperledgendary/fabric-chaincode-wasm:tp1 to docker hub ✅
 * Update [https://github.com/hyperledgendary/microfab/blob/master/Dockerfile#L56] to use the TP1 release ✅
 * Tag [https://github.com/hyperledgendary/microfab] with tp1 ✅
 * Publish hyperledgendary/microfab:tp1 to docker hub ✅
 * -Update doc in [https://github.com/hyperledgendary/fabric-contract-api-rust] to refer to TP1 images-
 * Tag [https://github.com/hyperledgendary/fabric-contract-api-rust] with tp1 ✅
 * Release TP1 version of [https://github.com/hyperledgendary/fabric-contract-api-rust] on crates.io ✅",,jtonline,,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01b83:1z8id3s",,,,Unset,Unset,11Sep to 18Sep,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),jtonline,,,,"17/Sep/20 10:29 PM;jtonline;* [https://github.com/hyperledgendary/fabric-chaincode-wasm/releases/tag/tp1]
 * [https://hub.docker.com/r/hyperledgendary/fabric-chaincode-wasm];;;","17/Sep/20 10:56 PM;jtonline;* [https://github.com/hyperledgendary/microfab/releases/tag/tp1]
 * [https://hub.docker.com/r/hyperledgendary/microfab];;;","17/Sep/20 11:22 PM;jtonline;* https://github.com/hyperledgendary/fabric-contract-api-rust/releases/tag/tp1
 * https://crates.io/crates/fabric_contract;;;"
Tech preview 1 publicity/feedback,FCW-31,46129,Story,Done,FCW,Fabric Chaincode Wasm,software,mbwhite,,,Medium,Done,jtonline,jtonline,jtonline,18/Sep/20 7:28 PM,21/Oct/20 10:45 PM,28/Oct/23 2:26 AM,21/Oct/20 10:44 PM,,,,0,cc-triaged,,"Publicise tech preview 1 and gather feedback, e.g.
 * Announce on mailing list
 * YouTube video(s)
 * Blog posts
 * Social media
 * Questionnaire
 * Feedback issue on github",,jtonline,lesleyannj,,,,,,,,,,,,(Please add high level design or a link to the design),Unset,Unset,Unset,,,,,No,,Unset,No,,,"1|i01ge9:qyw",,,,Unset,Unset,16Oct-23Oct,,,(Please add steps to reproduce),,Unset,,,,,,Unset,,Unset,,(Please add usage information),jtonline,lesleyannj,,,"18/Sep/20 7:31 PM;jtonline;Mailing list announcement [https://lists.hyperledger.org/g/fabric/message/9031];;;","18/Sep/20 10:42 PM;jtonline;Rocket Chat announcement https://chat.hyperledger.org/channel/fabric?msg=iZum3o9DtXRPYHutv;;;","28/Sep/20 9:30 PM;lesleyannj;3 week feedback complete Fri 9 Oct;;;"
